Valid	Winds	Gusts**	Direction	Temp	Humidity
08/26 02:40pm PDT	6 mph	14 mph	WNW	95°F	17%
08/26 02:30pm PDT	7 mph	16 mph	WNW	94°F	17%
08/26 02:20pm PDT	7 mph	13 mph	WNW	95°F	16%
08/26 02:10pm PDT	6 mph	14 mph	NW	96°F	17%
08/26 02:00pm PDT	7 mph	15 mph	WNW	95°F	19%
08/26 01:50pm PDT	6 mph	13 mph	NNW	95°F	19%
08/26 01:40pm PDT	6 mph	14 mph	WNW	96°F	20%
08/26 01:30pm PDT	6 mph	14 mph	WNW	95°F	18%
08/26 01:20pm PDT	7 mph	12 mph	WNW	95°F	18%
08/26 01:10pm PDT	6 mph	13 mph	NNW	96°F	18%
08/26 01:00pm PDT	7 mph	12 mph	NNW	94°F	18%
08/26 12:50pm PDT	7 mph	12 mph	N	94°F	16%
08/26 12:40pm PDT	6 mph	11 mph	N	94°F	14%
08/26 12:30pm PDT	7 mph	14 mph	NW	93°F	13%
08/26 12:20pm PDT	6 mph	11 mph	NW	94°F	13%
08/26 12:10pm PDT	6 mph	12 mph	NNW	94°F	12%
08/26 12:00pm PDT	5 mph	10 mph	W	94°F	9%
08/26 11:50am PDT	6 mph	12 mph	NNW	94°F	7%
08/26 11:40am PDT	4 mph	9 mph	WNW	95°F	7%
08/26 11:30am PDT	5 mph	10 mph	WNW	94°F	7%
08/26 11:20am PDT	4 mph	10 mph	NNW	94°F	7%
08/26 11:10am PDT	5 mph	11 mph	WNW	93°F	7%
08/26 11:00am PDT	5 mph	10 mph	NW	93°F	8%
08/26 10:50am PDT	4 mph	9 mph	WNW	94°F	7%
08/26 10:40am PDT	4 mph	10 mph	NNW	92°F	7%
08/26 10:30am PDT	4 mph	9 mph	NW	92°F	7%
08/26 10:20am PDT	3 mph	7 mph	NNW	91°F	8%
08/26 10:10am PDT	4 mph	7 mph	NW	91°F	9%
08/26 10:00am PDT	4 mph	7 mph	NW	90°F	9%
08/26 09:50am PDT	5 mph	8 mph	NNW	89°F	10%
08/26 09:40am PDT	5 mph	9 mph	NNW	89°F	10%
08/26 09:30am PDT	4 mph	8 mph	NNW	89°F	9%
08/26 09:20am PDT	3 mph	7 mph	NNW	89°F	10%
08/26 09:10am PDT	3 mph	6 mph	WNW	88°F	10%
08/26 09:00am PDT	3 mph	5 mph	NNW	88°F	11%
08/26 08:50am PDT	3 mph	7 mph	NW	87°F	11%
08/26 08:40am PDT	3 mph	6 mph	NNE	87°F	11%
08/26 08:30am PDT	4 mph	6 mph	NE	87°F	11%
08/26 08:20am PDT	3 mph	5 mph	NE	86°F	11%
08/26 08:10am PDT	3 mph	5 mph	NE	86°F	11%
08/26 08:00am PDT	3 mph	4 mph	NE	86°F	11%
08/26 07:50am PDT	3 mph	4 mph	NNE	85°F	11%
08/26 07:40am PDT	3 mph	4 mph	E	85°F	12%
08/26 07:30am PDT	2 mph	4 mph	ENE	84°F	12%
08/26 07:20am PDT	2 mph	4 mph	E	84°F	13%
08/26 07:10am PDT	1 mph	2 mph	NE	84°F	12%
08/26 07:00am PDT	1 mph	2 mph	ENE	83°F	12%
08/26 06:50am PDT	1 mph	3 mph	NE	83°F	12%
08/26 06:40am PDT	1 mph	2 mph	E	83°F	13%
08/26 06:30am PDT	2 mph	2 mph	ESE	83°F	13%
08/26 06:20am PDT	1 mph	2 mph	E	83°F	12%
08/26 06:10am PDT	2 mph	2 mph	E	83°F	12%
08/26 06:00am PDT	2 mph	2 mph	SE	83°F	12%
08/26 05:50am PDT	1 mph	2 mph	ESE	83°F	12%
08/26 05:40am PDT	2 mph	2 mph	ESE	82°F	11%
08/26 05:30am PDT	2 mph	2 mph	E	82°F	12%
08/26 05:20am PDT	1 mph	2 mph	E	82°F	12%
08/26 05:10am PDT	1 mph	2 mph	NE	82°F	12%
08/26 05:00am PDT	1 mph	2 mph	ENE	82°F	12%
08/26 04:50am PDT	1 mph	2 mph	ESE	82°F	12%
08/26 04:40am PDT	1 mph	1 mph	ESE	82°F	13%
08/26 04:30am PDT	0 mph	1 mph	ESE	82°F	13%
08/26 04:20am PDT	1 mph	1 mph	ESE	82°F	13%
08/26 04:10am PDT	1 mph	1 mph	E	81°F	14%
08/26 04:00am PDT	1 mph	2 mph	E	81°F	14%
08/26 03:50am PDT	1 mph	2 mph	E	81°F	14%
08/26 03:40am PDT	1 mph	3 mph	NE	81°F	15%
08/26 03:30am PDT	2 mph	3 mph	NNE	82°F	15%
08/26 03:20am PDT	2 mph	3 mph	NNE	82°F	15%
08/26 03:10am PDT	1 mph	2 mph	ENE	81°F	15%
08/26 03:00am PDT	1 mph	2 mph	ENE	81°F	16%
08/26 02:50am PDT	1 mph	2 mph	NE	81°F	16%
08/26 02:40am PDT	2 mph	3 mph	NE	81°F	16%
08/26 02:30am PDT	2 mph	2 mph	E	81°F	17%
08/26 02:20am PDT	2 mph	4 mph	NE	81°F	17%
08/26 02:10am PDT	2 mph	3 mph	NE	81°F	17%
08/26 02:00am PDT	2 mph	3 mph	ENE	81°F	18%
08/26 01:50am PDT	2 mph	2 mph	ENE	81°F	19%
08/26 01:40am PDT	1 mph	2 mph	E	81°F	20%
08/26 01:30am PDT	1 mph	2 mph	NE	80°F	20%
08/26 01:20am PDT	1 mph	2 mph	E	80°F	20%
08/26 01:10am PDT	2 mph	3 mph	ENE	81°F	20%
08/26 01:00am PDT	2 mph	4 mph	NE	81°F	21%
08/26 12:50am PDT	2 mph	4 mph	NE	81°F	21%
08/26 12:40am PDT	2 mph	3 mph	NE	81°F	21%
08/26 12:30am PDT	2 mph	3 mph	NE	81°F	20%
08/26 12:20am PDT	1 mph	2 mph	ENE	81°F	21%
08/26 12:10am PDT	1 mph	2 mph	ENE	81°F	22%
08/26 12:00am PDT	2 mph	2 mph	NE	81°F	22%
08/25 11:50pm PDT	1 mph	2 mph	ENE	80°F	22%
08/25 11:40pm PDT	1 mph	2 mph	E	80°F	26%
08/25 11:30pm PDT	1 mph	2 mph	E	79°F	27%
08/25 11:20pm PDT	1 mph	1 mph	NE	79°F	28%
08/25 11:10pm PDT	1 mph	2 mph	NE	79°F	28%
08/25 11:00pm PDT	1 mph	2 mph	NNE	79°F	27%
08/25 10:50pm PDT	1 mph	2 mph	NNE	79°F	26%
08/25 10:40pm PDT	1 mph	2 mph	NNE	79°F	27%
08/25 10:30pm PDT	1 mph	1 mph	NNW	80°F	26%
08/25 10:20pm PDT	0 mph	1 mph	NW	79°F	23%
08/25 10:10pm PDT	0 mph	2 mph	ESE	79°F	23%
08/25 10:00pm PDT	1 mph	2 mph	E	79°F	23%
08/25 09:50pm PDT	0 mph	1 mph	ENE	79°F	25%
08/25 09:40pm PDT	0 mph	2 mph	NE	80°F	26%
08/25 09:30pm PDT	1 mph	2 mph	NNE	80°F	26%
08/25 09:20pm PDT	2 mph	2 mph	N	80°F	26%
08/25 09:10pm PDT	1 mph	2 mph	N	79°F	26%
08/25 09:00pm PDT	1 mph	3 mph	NW	79°F	25%
08/25 08:50pm PDT	3 mph	4 mph	WNW	80°F	25%
08/25 08:40pm PDT	3 mph	5 mph	NNW	80°F	25%
08/25 08:30pm PDT	1 mph	3 mph	NNE	80°F	30%
08/25 08:20pm PDT	2 mph	3 mph	ENE	78°F	38%
08/25 08:10pm PDT	2 mph	3 mph	ENE	78°F	43%
08/25 08:00pm PDT	3 mph	3 mph	E	78°F	43%
08/25 07:50pm PDT	3 mph	4 mph	NNE	78°F	43%
08/25 07:40pm PDT	3 mph	4 mph	NNE	78°F	43%
08/25 07:30pm PDT	3 mph	5 mph	NNE	78°F	42%
08/25 07:20pm PDT	2 mph	4 mph	NNE	78°F	42%
08/25 07:10pm PDT	3 mph	4 mph	NNE	79°F	41%
08/25 07:00pm PDT	4 mph	6 mph	NNE	80°F	38%
08/25 06:50pm PDT	4 mph	6 mph	N	82°F	34%
08/25 06:40pm PDT	4 mph	7 mph	NNW	83°F	32%
08/25 06:30pm PDT	5 mph	9 mph	NNW	84°F	29%
08/25 06:10pm PDT	6 mph	10 mph	NNW	86°F	25%
08/25 06:00pm PDT	5 mph	9 mph	NW	86°F	26%
08/25 05:50pm PDT	6 mph	10 mph	NW	86°F	27%
08/25 05:40pm PDT	6 mph	11 mph	NW	87°F	27%
08/25 05:30pm PDT	6 mph	12 mph	NW	88°F	24%
08/25 05:20pm PDT	6 mph	11 mph	NW	87°F	25%
08/25 05:10pm PDT	5 mph	10 mph	WNW	88°F	26%
08/25 05:00pm PDT	5 mph	10 mph	WNW	88°F	27%
08/25 04:50pm PDT	6 mph	13 mph	WNW	88°F	26%
08/25 04:40pm PDT	6 mph	13 mph	WNW	89°F	25%
08/25 04:30pm PDT	6 mph	14 mph	NW	90°F	24%
08/25 04:20pm PDT	5 mph	14 mph	WNW	90°F	22%
08/25 04:10pm PDT	6 mph	11 mph	WNW	90°F	21%
08/25 04:00pm PDT	5 mph	12 mph	NNW	92°F	20%
08/25 03:50pm PDT	6 mph	12 mph	WNW	91°F	21%
08/25 03:40pm PDT	7 mph	12 mph	W	91°F	22%
08/25 03:30pm PDT	8 mph	15 mph	WNW	92°F	22%
08/25 03:20pm PDT	5 mph	14 mph	WNW	92°F	22%
08/25 03:10pm PDT	7 mph	14 mph	WSW	92°F	20%
08/25 03:00pm PDT	6 mph	14 mph	WNW	92°F	19%
08/25 02:50pm PDT	8 mph	14 mph	W	91°F	19%
08/25 02:40pm PDT	7 mph	15 mph	NW	91°F	20%
08/25 02:30pm PDT	7 mph	14 mph	WNW	91°F	22%
08/25 02:20pm PDT	6 mph	13 mph	WNW	91°F	21%
08/25 02:10pm PDT	6 mph	13 mph	WNW	91°F	20%
08/25 02:00pm PDT	6 mph	13 mph	WNW	92°F	20%
08/25 01:50pm PDT	5 mph	12 mph	NW	92°F	19%
08/25 01:40pm PDT	6 mph	13 mph	WNW	91°F	19%
08/25 01:30pm PDT	8 mph	14 mph	NNW	92°F	17%
08/25 01:20pm PDT	6 mph	13 mph	WNW	93°F	17%
08/25 01:10pm PDT	5 mph	11 mph	WNW	93°F	18%
08/25 01:00pm PDT	6 mph	13 mph	WNW	93°F	17%
08/25 12:50pm PDT	7 mph	12 mph	NNW	92°F	14%
08/25 12:40pm PDT	7 mph	12 mph	NW	92°F	14%
08/25 12:30pm PDT	7 mph	12 mph	NNW	91°F	13%
08/25 12:20pm PDT	7 mph	13 mph	NNW	91°F	15%
08/25 12:10pm PDT	7 mph	12 mph	NW	92°F	15%
08/25 12:00pm PDT	7 mph	12 mph	NNW	91°F	14%
08/25 11:50am PDT	5 mph	11 mph	N	92°F	14%
08/25 11:40am PDT	6 mph	11 mph	N	91°F	15%
08/25 11:30am PDT	6 mph	12 mph	NNW	91°F	14%
08/25 11:20am PDT	5 mph	11 mph	NNW	91°F	15%
08/25 11:10am PDT	6 mph	12 mph	NNW	90°F	16%
08/25 11:00am PDT	6 mph	11 mph	NNW	90°F	16%
08/25 10:50am PDT	5 mph	9 mph	NNW	90°F	14%
08/25 10:40am PDT	5 mph	8 mph	WNW	90°F	13%
08/25 10:30am PDT	4 mph	8 mph	WNW	90°F	14%
08/25 10:20am PDT	4 mph	8 mph	NNW	89°F	14%
08/25 10:10am PDT	4 mph	7 mph	WNW	89°F	14%
08/25 10:00am PDT	3 mph	7 mph	NW	89°F	13%
08/25 09:50am PDT	4 mph	7 mph	NW	89°F	13%
08/25 09:40am PDT	3 mph	7 mph	NW	89°F	13%
08/25 09:30am PDT	3 mph	6 mph	N	90°F	12%
08/25 09:20am PDT	1 mph	5 mph	WNW	89°F	13%
08/25 09:10am PDT	1 mph	3 mph	WNW	89°F	11%
08/25 09:00am PDT	1 mph	3 mph	WSW	88°F	12%
08/25 08:50am PDT	1 mph	3 mph	NNE	87°F	12%
08/25 08:40am PDT	1 mph	3 mph	ENE	85°F	13%
08/25 08:30am PDT	2 mph	3 mph	ENE	85°F	14%
08/25 08:20am PDT	2 mph	4 mph	ENE	84°F	14%
08/25 08:10am PDT	1 mph	3 mph	NNE	85°F	14%
08/25 08:00am PDT	0 mph	2 mph	N	85°F	13%
08/25 07:50am PDT	1 mph	2 mph	E	85°F	13%
08/25 07:40am PDT	0 mph	1 mph	NNE	83°F	13%
08/25 07:30am PDT	1 mph	3 mph	S	82°F	14%
08/25 07:20am PDT	3 mph	5 mph	SSE	81°F	15%
08/25 07:10am PDT	4 mph	6 mph	SSE	81°F	15%
08/25 07:00am PDT	4 mph	5 mph	SSE	81°F	15%
08/25 06:50am PDT	3 mph	5 mph	SSE	80°F	14%
08/25 06:40am PDT	2 mph	2 mph	ESE	80°F	15%
08/25 06:30am PDT	2 mph	2 mph	ENE	78°F	18%
08/25 06:20am PDT	2 mph	3 mph	ENE	77°F	22%
08/25 06:10am PDT	3 mph	3 mph	ENE	77°F	23%
08/25 06:00am PDT	3 mph	3 mph	ESE	77°F	22%
08/25 05:50am PDT	2 mph	3 mph	E	78°F	19%
08/25 05:40am PDT	1 mph	2 mph	E	78°F	17%
08/25 05:30am PDT	0 mph	1 mph	ESE	78°F	17%
08/25 05:20am PDT	0 mph	1 mph	NNE	78°F	17%
08/25 05:10am PDT	2 mph	4 mph	S	79°F	17%
08/25 05:00am PDT	4 mph	6 mph	SSE	80°F	16%
08/25 04:50am PDT	5 mph	7 mph	SSE	81°F	16%
08/25 04:40am PDT	6 mph	7 mph	SSE	81°F	16%
08/25 04:30am PDT	6 mph	8 mph	SSE	80°F	16%
08/25 04:20am PDT	6 mph	7 mph	SE	80°F	17%
08/25 04:10am PDT	5 mph	6 mph	SSE	80°F	17%
08/25 04:00am PDT	5 mph	6 mph	SSE	80°F	16%
08/25 03:50am PDT	4 mph	6 mph	SSE	80°F	17%
08/25 03:40am PDT	2 mph	4 mph	SSE	79°F	18%
08/25 03:30am PDT	3 mph	4 mph	SSE	79°F	19%
08/25 03:20am PDT	2 mph	4 mph	SSE	79°F	19%
08/25 03:10am PDT	3 mph	7 mph	SE	80°F	18%
08/25 03:00am PDT	3 mph	6 mph	SSE	80°F	19%
08/25 02:50am PDT	4 mph	7 mph	SE	80°F	18%
08/25 02:40am PDT	3 mph	6 mph	SE	79°F	19%
08/25 02:30am PDT	3 mph	6 mph	SE	79°F	20%
08/25 02:20am PDT	4 mph	7 mph	SSE	79°F	23%
08/25 02:10am PDT	5 mph	7 mph	S	80°F	21%
08/25 02:00am PDT	5 mph	8 mph	SSE	79°F	24%
08/25 01:50am PDT	4 mph	7 mph	SSE	80°F	23%
